date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-06-27,11.9,7.7,17,0,,135,9.4,,1022.7,
2023-06-28,9.6,5.5,13.7,0,,127,8.6,,1018.4,
2023-06-29,9.8,4.9,18.9,0,,131,7.8,,1018.3,
2023-06-30,11.9,5.7,21,0,,137,8.1,,1017.1,
2023-07-01,11.3,7.4,14.6,0,,9,10.3,,1013,
2023-07-02,12.7,9,16.6,0,,35,10.4,,1018.8,
2023-07-03,11.2,7.5,17.4,0,,124,8.3,,1019.3,
2023-07-04,12.1,6.7,17,0,,93,7.4,,1022.6,
2023-07-05,10,5,15.7,0,,134,7.2,,1022.2,
2023-07-06,10.9,7.7,15,0,,144,9.9,,1019.1,
2023-07-07,9.6,5.5,13.5,0,,45,9.2,,1016.3,
2023-07-08,13.3,10.5,17,18.1,,18,12.5,,1019.2,
2023-07-09,12.2,6.8,16.2,0,,185,7.3,,1019.3,
2023-07-10,10,6.4,13,0,,59,10.4,,1013.9,
2023-07-11,12.2,11,13.5,26,,54,19,,1014.1,
2023-07-12,12.2,10,15,10.3,,23,16.2,,1023.1,
2023-07-13,11.1,6.8,17,0,,154,10.4,,1019,
2023-07-14,10.1,6,15,0,,171,17.5,,1016.8,
2023-07-15,9.4,6.1,15,0,,171,10.5,,1019,
2023-07-16,7.3,3,13.5,0,,148,9.4,,1017.2,
2023-07-17,7.3,1.5,13.3,0,,107,6.1,,1019,
2023-07-18,12.9,8.6,18,0,,154,10.3,,1018.1,
2023-07-19,11.6,8,17.2,0,,103,5.7,,1015.8,
2023-07-20,10.8,7.4,14,0,,4,7.3,,1014.2,
2023-07-21,13.3,11.8,14.3,22.3,,3,15.7,,1014.2,
2023-07-22,12.5,9.4,15,5.2,,284,9.8,,1019.4,
2023-07-23,10.1,6.6,13.7,0,,154,11.7,,1019.8,
2023-07-24,8.4,3,16,0,,144,7.4,,1021.8,
2023-07-25,10.4,6,14.5,0,,174,8.1,,1022,
2023-07-26,10.4,7,14,0,,183,10.1,,1019.2,
2023-07-27,9.7,4.2,15,0,,170,10.6,,1019.9,
2023-07-28,13.3,7.5,21,0,,166,10,,1018.3,
2023-07-29,11.8,6.6,19,0,,159,7.1,,1016.9,
2023-07-30,12.1,7.6,19.5,0,,136,7,,1016.3,
2023-07-31,11.8,8,14.2,0,,344,9.5,,1019,
2023-08-01,13.4,10,18,0,,185,11.1,,1018.9,
2023-08-02,14.7,8.8,21,0,,175,13.5,,1017.7,
2023-08-03,10,4.6,16.1,0,,258,7.1,,1017.6,
2023-08-04,10.8,4.6,19,0,,148,8.5,,1014.9,
2023-08-05,12.7,11.9,14,0,,52,7.6,,1015.6,
2023-08-06,13.2,8,16,0.2,,128,10.4,,1019.9,
2023-08-07,9.9,4.6,14,0,,148,6.3,,1017.7,
2023-08-08,10.2,7.4,12,0,,90,8.2,,1019.7,
2023-08-09,12,10,14.6,0.4,,6,9.8,,1016.1,
2023-08-10,12,8.6,14.7,24,,52,12.9,,1021.8,
2023-08-11,10.8,6,17.1,0,,165,11.8,,1023.9,
2023-08-12,12.8,6,21,0,,168,12.2,,1019.7,
2023-08-13,16.5,9,25.2,0,,152,13,,1016,
2023-08-14,13.2,8,20.1,0,,159,14,,1014.6,
2023-08-15,13.3,10.6,15.1,0,,8,12.3,,1015.8,
2023-08-16,12.8,7.5,15.2,0.5,,20,12.3,,1018.3,
2023-08-17,11.7,5.8,14.8,4.5,,247,13.7,,1021.3,
2023-08-18,9,3,15.4,0,,156,8.6,,1022.3,
2023-08-19,11.8,9,14,29.5,,9,14.8,,1019.1,
